tot_emd,to_ga_001,to_ga_002,ga_sd_001,ga_sd_002,ga_sd_003,ga_sd_004,ga_sd_005,ga_sd_006,ga_sd_999
25040660,9034,2.72,1641,4832,289,0,2094,69,0
25040670,12972,2.64,2304,7415,373,0,2676,52,0
25050510,8214,2.09,1298,2461,243,0,4074,88,0
25050520,3109,2.3,648,1195,86,0,1100,42,0
25050530,5710,2.39,1271,2570,232,0,1506,85,0
25050540,6508,2.54,1239,3310,258,0,1591,43,0
25050550,9113,2.11,1497,3447,257,0,3711,114,0
25050560,4351,2.18,750,1865,114,0,1549,28,0
25050570,6602,2.46,1224,3324,220,0,1751,0,0
25050580,4765,2.27,958,1932,192,0,1570,71,0
25050590,5245,2.6,1037,2802,171,0,1148,5,0
25050600,5833,2.39,1066,2542,222,0,1886,63,0
25050610,2928,2.33,436,1268,71,0,1041,81,0
25050620,9799,2.79,1655,5969,304,0,1715,34,0
26010510,4536,2.1,905,1692,175,0,1690,37,0
26010520,7190,2.35,1344,3354,239,0,2174,10,0
26010530,3855,2.26,758,1596,134,0,1303,27,0
26010540,2103,2.41,445,931,79,0,621,17,0
26010550,4433,2.47,822,2252,145,0,1168,8,0
26010590,8307,2.32,1714,3829,244,0,2426,15,0
26010600,12146,2.68,2518,6917,471,0,2105,34,0
26010610,9724,2.34,1971,4480,374,0,2806,0,0
26010620,8731,2.48,1706,4469,319,0,2147,5,0
26010630,8025,2.5,1462,4180,272,0,1967,42,0
26010640,3630,2.92,669,2333,133,0,460,0,0
26010660,7807,2.67,1278,4092,368,0,1953,37,0
26010670,6269,2.03,1277,2138,221,0,2519,54,0
26020510,8496,2.11,1726,3057,215,0,3299,133,0
26020520,9185,2.56,1841,4845,269,0,2055,64,0
26020530,6649,2.28,1311,2885,220,0,2131,59,0
26020540,8774,2.53,1620,4647,255,0,2104,50,0
26020550,4198,1.98,714,1375,106,0,1903,70,0
26020560,12281,2.16,1946,5074,276,0,4668,210,0
26020570,17938,2.35,3102,8168,448,0,5697,362,0
26020571,2670,1.58,308,488,24,0,1634,201,0
